date,headline,food,transport,housing_utilities,education,health,restaurants_hotels,communication,recreation_culture,misc_goods_services,services_proxy,headline_infl_mom_pct,headline_infl_yoy_pct,food_infl_mom_pct,food_infl_yoy_pct,transport_infl_mom_pct,transport_infl_yoy_pct,housing_utilities_infl_mom_pct,housing_utilities_infl_yoy_pct,services_proxy_infl_mom_pct,services_proxy_infl_yoy_pct
2021-04-01,104.494655305964,105.457182320442,102.557669740151,102.581474654378,104.01769641495,112.138253638254,106.491257285595,102.430188679245,102.490288713911,102.615563506261,105.03054137303599,0.08673026886352186,2.486678507992579,0.2485501242752708,4.13080895008644,0.0,2.1295474711628737,0.1906577693042033,2.2373540856033935,0.11365535599747734,1.882932319598818
2021-05-01,104.766305189775,105.892955801105,102.379463537301,102.581474654378,104.265751334859,113.018711018711,106.21773522065,102.955471698113,102.769553805774,102.895169946333,105.35373217074,0.25996533795493715,2.661934338952987,0.4132231404958775,4.471195184866694,-0.17376194613383245,1.9520851818993101,0.0,2.1379980563656087,0.3077112556776562,2.211229074279708
2021-06-01,105.128505034857,106.677348066298,102.379463537301,102.581474654378,104.265751334859,113.498960498961,106.308909242298,101.379622641509,103.141907261592,102.988372093023,105.26392051204033,0.34572169403694897,2.834366696191659,0.7407407407403754,5.154639175256914,0.0,1.9520851818993101,0.0,2.1379980563656087,-0.08524772388140978,1.8013895810291114
2021-07-01,105.762354763749,107.548895027624,102.557669740151,102.581474654378,104.348436308162,113.498960498961,105.48834304746,103.08679245283,103.048818897638,103.454382826476,105.48762233858783,0.602928509904932,3.546099290779803,0.8169934640523291,6.104901117798445,0.17406440382945476,2.1295474711628737,0.0,2.2373540856033935,0.21251519557634602,1.8933032122121274
2021-08-01,106.758404337723,109.291988950276,102.201257334451,102.77668202765,104.348436308162,113.739085239085,106.308909242298,104.137358490566,103.607349081365,103.267978533095,105.90151948242851,0.9417808219181145,4.428697962799255,1.6207455429498197,7.27117194182989,-0.347523892267676,1.9555555555560211,0.19029495718374534,2.3323615160353084,0.3923656014467536,1.9568839760687462
2021-09-01,107.482804027885,110.599309392265,102.735875943001,103.362304147465,104.183066361556,114.219334719335,107.220649458784,102.430188679245,102.304111986002,103.454382826476,105.635289005233,0.6785411365557881,4.673721340387349,1.196172248803884,7.360406091370653,0.5231037489103363,1.765225066196363,0.5698005697999164,2.7158098933070196,-0.25139438838710504,2.111538316510342
2021-10-01,107.663903950426,110.77361878453,102.914082145851,103.947926267281,106.250190694127,114.219334719335,107.311823480433,101.77358490566,101.745581802275,104.013595706619,105.88568521807484,0.16849199663047099,4.665492957746853,0.15760441292338445,7.257383966244424,0.17346053772770986,1.7621145374453473,0.5665722379606608,2.7992277992274106,0.23703841320434904,2.499794134973854
2021-11-01,108.569403563129,111.993784530387,103.003185247276,104.826359447005,106.332875667429,115.019750519751,107.49417152373,102.167547169811,103.793525809274,104.293202146691,106.51684547278099,0.8410428931872493,4.624781849912107,1.101494885917198,6.727574750831233,0.08658008658011251,1.8502202643176036,0.8450704225356986,3.4682080924855363,0.5960770366704837,2.8299446268578166
2021-12-01,109.384353214562,113.475414364641,102.914082145851,104.728755760369,107.077040427155,115.419958419958,107.585345545379,102.167547169811,106.027646544182,103.827191413238,107.01745491995383,0.7506255212677226,5.686789151355431,1.3229571984434418,8.86287625418034,-0.08650519031143666,1.4047410008782846,-0.09310986964624623,3.073967339097794,0.4699814803478919,3.163760720732256
2022-01-01,110.108752904725,114.695580110497,103.092288348701,104.435944700461,107.242410373761,116.060291060291,107.767693588676,103.743396226415,106.120734908137,103.920393559928,107.47581995286801,0.6622516556294533,6.015693112467324,1.0752688172039893,9.484193011647267,0.17316017316022503,1.580333625988084,-0.27958993476251415,2.588686481304414,0.4283086654013779,3.294388643076651
